,country,age_group,purpose,main_activity,info_source,tour_arrangement,package_accomodation,package_food,package_transport_tz,package_insurance,payment_mode,first_trip_tz,total_cost
653,CANADA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,20006025.0
654,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,20221500.0
655,FRANCE,25-44,Volunteering,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,Cash,Yes,1300000.0
656,GERMANY,1-24,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,497250.0
657,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,13525200.0
658,SOUTH AFRICA,65+,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,Credit Card,No,4143750.0
659,CANADA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,33481500.0
660,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3315000.0
661,CANADA,1-24,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,4972500.0
662,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Cash,No,70000.0
663,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,12265500.0
664,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,No,8033428.2
665,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,8287500.0
666,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,8287500.0
667,UNITED STATES OF AMERICA,1-24,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,663000.0
668,IRELAND,25-44,Volunteering,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
669,UNITED STATES OF AMERICA,25-44,Visiting Friends and Relatives,Cultural tourism,others,Independent,No,No,No,No,Cash,No,331500.0
670,CANADA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7127250.0
671,UNITED KINGDOM,1-24,Scientific and Academic,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,364000.0
672,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,12597000.0
673,GERMANY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,16566109.0
674,UNITED KINGDOM,25-44,Scientific and Academic,Conference tourism,others,Independent,No,No,No,No,Cash,No,102610.0
675,SPAIN,45-64,Leisure and Holidays,Diving and Sport Fishing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3978000.0
676,UNITED STATES OF AMERICA,45-64,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1657500.0
677,INDIA,45-64,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1243125.0
678,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,Cash,Yes,10939500.0
679,SINGAPORE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Credit Card,Yes,15083250.0
680,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,19890000.0
681,UNITED STATES OF AMERICA,1-24,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4309500.0
682,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,22376250.0
683,UNITED KINGDOM,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5991862.5
684,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,7458750.0
685,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,33978750.0
686,GERMANY,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,7127250.0
687,INDIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,25111125.0
688,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,2130000.0
689,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,18232500.0
690,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,No,Yes,No,Cash,Yes,19921492.5
691,MALAYSIA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Cash,Yes,4425525.0
692,LITHUANIA,25-44,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,5635500.0
693,FRANCE,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,6630000.0
694,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,No,8287500.0
695,UNITED KINGDOM,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,10355982.0
696,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,2320500.0
697,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,8619000.0
698,AUSTRALIA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,39862875.0
699,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,16575000.0
700,NETHERLANDS,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,82875.0
701,FRANCE,25-44,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,24962630.0
702,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,8396521.0
703,POLAND,25-44,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Cash,No,10359375.0
704,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Cash,Yes,10773750.0
707,UNITED KINGDOM,1-24,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,3698565.0
708,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,Yes,No,Yes,No,Cash,Yes,10939500.0
709,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,45001125.0
710,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,No,Cash,Yes,15497625.0
711,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,16906500.0
712,GERMANY,45-64,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Credit Card,Yes,828750.0
713,NETHERLANDS,25-44,Business,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,No,5967000.0
714,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,10110750.0
715,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Credit Card,Yes,21547500.0
716,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,24862500.0
717,UNITED STATES OF AMERICA,45-64,Scientific and Academic,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,8038875.0
718,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Credit Card,Yes,4143750.0
719,NETHERLANDS,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,17403750.0
720,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,6795750.0
721,UNITED STATES OF AMERICA,1-24,Scientific and Academic,Hunting tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,No,Credit Card,Yes,15829125.0
722,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,6464250.0
723,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Credit Card,No,9945000.0
724,ITALY,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,2486250.0
725,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,8349037.0
726,GERMANY,25-44,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3812250.0
728,FRANCE,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,2154750.0
729,AUSTRALIA,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1989000.0
730,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3895125.0
731,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,No,11602500.0
732,AUSTRALIA,25-44,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,2000000.0
733,UNITED STATES OF AMERICA,25-44,Business,Hunting tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,663000.0
734,KENYA,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3315000.0
735,SOUTH AFRICA,65+,Leisure and Holidays,Cultural tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,Cash,No,10442250.0
736,NETHERLANDS,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,No,27348750.0
737,CANADA,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,30378270.0
738,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3149250.0
739,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,4538660.0
740,UNITED STATES OF AMERICA,25-44,Scientific and Academic,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,15331875.0
741,UNITED STATES OF AMERICA,45-64,Visiting Friends and Relatives,Hunting tourism,others,Independent,No,No,No,No,Cash,No,2817750.0
742,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4641000.0
743,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,29835000.0
744,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Cash,Yes,7707375.0
745,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,22210500.0
746,CANADA,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,28177500.0
747,IRELAND,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,17403750.0
748,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,16112243.0
749,UGANDA,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,994500.0
750,AUSTRALIA,25-44,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1410000.0
751,FRANCE,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,23702250.0
752,DENMARK,1-24,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,600000.0
753,CANADA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7956000.0
754,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,58675500.0
755,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,Yes,No,Cash,Yes,36879375.0
756,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,12182625.0
757,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,5304000.0
758,BELGIUM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,13425750.0
759,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1629100.0
760,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,43095000.0
761,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,11105250.0
762,UNITED STATES OF AMERICA,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,5635500.0
763,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,248625.0
764,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,25525500.0
765,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,8950500.0
766,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,16989375.0
767,CANADA,45-64,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,2486250.0
768,EGYPT,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3315000.0
769,NETHERLANDS,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1657500.0
770,GERMANY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,35719125.0
771,UNITED KINGDOM,45-64,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,No,4972500.0
772,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3403995.0
773,ITALY,45-64,Leisure and Holidays,Wildlife tourism,Trade fair,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,17403750.0
774,ITALY,45-64,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,14917500.0
775,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,6795750.0
776,ITALY,1-24,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,11573583.0
777,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,20718750.0
778,EGYPT,25-44,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,5304000.0
779,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,21558635.0
780,UNITED KINGDOM,1-24,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,404000.0
781,UNITED KINGDOM,1-24,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,154000.0
782,CANADA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,No,Cash,Yes,8287500.0
783,UNITED KINGDOM,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,155300.0
784,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,Credit Card,Yes,41437500.0
785,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,20718750.0
786,INDIA,25-44,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,663000.0
787,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,13906425.0
788,NETHERLANDS,1-24,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,828750.0
789,CANADA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,10276500.0
790,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,14088750.0
791,KENYA,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Package Tour,Yes,Yes,No,No,Cash,Yes,602750.0
792,NETHERLANDS,45-64,Meetings and Conference,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,Credit Card,No,994500.0
793,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,33150000.0
794,UNITED STATES OF AMERICA,25-44,Volunteering,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,3315000.0
795,NORWAY,25-44,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2652000.0
796,ITALY,1-24,Leisure and Holidays,Cultural tourism,"Friends, relatives",Package Tour,No,No,No,Yes,Cash,Yes,3154368.7
797,KENYA,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Package Tour,Yes,No,No,No,Cash,Yes,502750.0
798,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,10608000.0
799,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,13342875.0
800,AUSTRIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,6013724.5
801,KENYA,25-44,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,Cash,Yes,1170312.0
802,AUSTRALIA,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,663000.0
803,SOUTH AFRICA,45-64,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,Credit Card,No,3978000.0
804,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,Yes,Cash,Yes,50553750.0
805,SWEDEN,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2652000.0
806,NEW ZEALAND,45-64,Business,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,No,No,No,Cash,No,203000.0
807,GERMANY,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,43095000.0
808,UNITED KINGDOM,25-44,Business,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,812175.0
809,COLOMBIA,1-24,Leisure and Holidays,Wildlife tourism,inflight magazines,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,15580500.0
810,FINLAND,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,Yes,No,Credit Card,No,12481315.0
811,UGANDA,45-64,Scientific and Academic,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1657500.0
812,SOUTH AFRICA,45-64,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2486250.0
813,SOUTH AFRICA,25-44,Meetings and Conference,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,331500.0
814,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,12265500.0
815,UNITED KINGDOM,25-44,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,No,1657500.0
816,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,21050250.0
817,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,6464250.0
818,GERMANY,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,8287500.0
819,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,34310250.0
820,ITALY,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,226933.0
821,KENYA,65+,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,No,900000.0
822,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,7293000.0
823,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,32487000.0
824,UAE,65+,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,Credit Card,No,5304000.0
825,SOUTH AFRICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,530400.0
826,UNITED STATES OF AMERICA,1-24,Volunteering,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,56620200.0
827,ITALY,45-64,Leisure and Holidays,Bird watching,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,828750.0
828,UNITED KINGDOM,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,25194000.0
829,UNITED STATES OF AMERICA,65+,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,Cash,Yes,56520750.0
830,KENYA,25-44,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,2486250.0
831,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,14750645.0
832,UNITED KINGDOM,1-24,Business,business,"Friends, relatives",Independent,No,No,No,No,Cash,No,2723196.0
833,NETHERLANDS,1-24,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,2723196.0
834,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,6165900.0
835,UNITED KINGDOM,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,19061250.0
836,UNITED STATES OF AMERICA,25-44,Business,Wildlife tourism,"Newspaper, magazines,brochures",Independent,Yes,No,No,No,Credit Card,No,1657500.0
837,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,10110750.0
